x	y	z	contour type	frameID	weight	time frame
-1.26715	-1.83506	-21.40798	RV_INSERT	8001	2.0	16
-23.58108	20.94768	-61.25815	RV_INSERT	8001	2.0	16
7.76654	-13.25455	-31.53687	RV_INSERT	9001	2.0	16
-15.08585	14.39857	-76.64470	RV_INSERT	9001	2.0	16
-0.76424	6.25948	-85.95823	RV_INSERT	10001	2.0	16
6.67675	-20.03568	-54.07798	RV_INSERT	10001	2.0	16
12.48077	-3.84361	-94.14916	RV_INSERT	11001	2.0	16
12.62573	-21.68937	-76.29320	RV_INSERT	11001	2.0	16
24.99416	-16.45568	-100.41099	RV_INSERT	12001	2.0	16
24.38016	-24.00946	-93.37338	RV_INSERT	12001	2.0	16
4.17174	24.57400	-19.06288	MITRAL_VALVE	17001	1.0	16
-6.69490	40.92837	-54.81781	MITRAL_VALVE	17001	1.0	16
41.98892	-17.02557	-100.47300	APEX_POINT	17001	1.0	16
17.34186	43.06876	-37.56912	MITRAL_VALVE	16001	1.0	16
-0.71550	23.73086	-24.03732	MITRAL_VALVE	16001	1.0	16
-9.38206	2.80274	-22.40237	AORTA_VALVE	16001	1.0	16
-5.86948	21.94637	-18.61666	AORTA_VALVE	16001	1.0	16
42.91566	-22.22494	-95.40387	APEX_POINT	16001	1.0	16
-19.83100	25.54802	-38.16899	MITRAL_VALVE	14001	1.0	16
15.18922	35.15852	-20.85741	MITRAL_VALVE	14001	1.0	16
-25.87887	13.98525	-55.52402	TRICUSPID_VALVE	14001	1.0	16
-57.05129	7.23281	-68.31937	TRICUSPID_VALVE	14001	1.0	16
39.92430	-21.32509	-100.41177	APEX_POINT	14001	1.0	16
-11.71418	-13.38462	1.81333	PULMONARY_VALVE	22001	1.0	16
-11.20423	2.08062	-8.93203	PULMONARY_VALVE	22001	1.0	16
-16.35312	-0.26386	-34.59679	SAX_LV_ENDOCARDIAL	8001	1.0	16
-15.56105	-0.26385	-33.98636	SAX_LV_ENDOCARDIAL	8001	1.0	16
-14.76899	-0.26385	-33.37593	SAX_LV_ENDOCARDIAL	8001	1.0	16
-13.97692	-0.26385	-32.76549	SAX_LV_ENDOCARDIAL	8001	1.0	16
-12.80718	0.52176	-32.64513	SAX_LV_ENDOCARDIAL	8001	1.0	16
-12.01510	0.52176	-32.03469	SAX_LV_ENDOCARDIAL	8001	1.0	16
-10.84535	1.30737	-31.91432	SAX_LV_ENDOCARDIAL	8001	1.0	16
-10.05328	1.30738	-31.30389	SAX_LV_ENDOCARDIAL	8001	1.0	16
-8.88353	2.09298	-31.18352	SAX_LV_ENDOCARDIAL	8001	1.0	16
-7.71378	2.87861	-31.06316	SAX_LV_ENDOCARDIAL	8001	1.0	16
-6.92171	2.87860	-30.45272	SAX_LV_ENDOCARDIAL	8001	1.0	16
-5.75196	3.66422	-30.33236	SAX_LV_ENDOCARDIAL	8001	1.0	16
-4.95989	3.66422	-29.72192	SAX_LV_ENDOCARDIAL	8001	1.0	16
-3.79013	4.44983	-29.60155	SAX_LV_ENDOCARDIAL	8001	1.0	16
-2.62039	5.23545	-29.48119	SAX_LV_ENDOCARDIAL	8001	1.0	16
-1.82831	5.23545	-28.87075	SAX_LV_ENDOCARDIAL	8001	1.0	16
-0.65856	6.02107	-28.75039	SAX_LV_ENDOCARDIAL	8001	1.0	16
0.13351	6.02106	-28.13995	SAX_LV_ENDOCARDIAL	8001	1.0	16
1.30325	6.80668	-28.01959	SAX_LV_ENDOCARDIAL	8001	1.0	16
2.09533	6.80668	-27.40915	SAX_LV_ENDOCARDIAL	8001	1.0	16
3.26508	7.59229	-27.28878	SAX_LV_ENDOCARDIAL	8001	1.0	16
4.43483	8.37791	-27.16842	SAX_LV_ENDOCARDIAL	8001	1.0	16
5.22690	8.37790	-26.55798	SAX_LV_ENDOCARDIAL	8001	1.0	16
6.01896	8.37791	-25.94755	SAX_LV_ENDOCARDIAL	8001	1.0	16
7.18872	9.16352	-25.82718	SAX_LV_ENDOCARDIAL	8001	1.0	16
7.98078	9.16352	-25.21675	SAX_LV_ENDOCARDIAL	8001	1.0	16
9.15054	9.94913	-25.09638	SAX_LV_ENDOCARDIAL	8001	1.0	16
9.94260	9.94914	-24.48595	SAX_LV_ENDOCARDIAL	8001	1.0	16
10.73467	9.94913	-23.87551	SAX_LV_ENDOCARDIAL	8001	1.0	16
11.90442	10.73475	-23.75515	SAX_LV_ENDOCARDIAL	8001	1.0	16
12.69649	10.73475	-23.14471	SAX_LV_ENDOCARDIAL	8001	1.0	16
13.86624	11.52037	-23.02435	SAX_LV_ENDOCARDIAL	8001	1.0	16
14.65831	11.52036	-22.41391	SAX_LV_ENDOCARDIAL	8001	1.0	16
15.82807	12.30598	-22.29354	SAX_LV_ENDOCARDIAL	8001	1.0	16
16.62013	12.30598	-21.68311	SAX_LV_ENDOCARDIAL	8001	1.0	16
17.78989	13.09159	-21.56274	SAX_LV_ENDOCARDIAL	8001	1.0	16
18.58195	13.09159	-20.95231	SAX_LV_ENDOCARDIAL	8001	1.0	16
