x	y	z	contour type	frameID	weight	time frame
5.44706	-1.04944	-17.01458	RV_INSERT	8001	2.0	20
-23.20339	21.73329	-61.74822	RV_INSERT	8001	2.0	20
8.94442	-13.08114	-30.80151	RV_INSERT	9001	2.0	20
-14.67489	15.24613	-77.17072	RV_INSERT	9001	2.0	20
-0.83038	7.29495	-87.03879	RV_INSERT	10001	2.0	20
8.69871	-19.56917	-52.98354	RV_INSERT	10001	2.0	20
12.49836	-3.36232	-94.61416	RV_INSERT	11001	2.0	20
14.01825	-21.86591	-75.04447	RV_INSERT	11001	2.0	20
23.53803	-16.49375	-101.49535	RV_INSERT	12001	2.0	20
22.71775	-23.92377	-94.73978	RV_INSERT	12001	2.0	20
5.48286	22.73383	-16.53734	MITRAL_VALVE	17001	1.0	20
-6.66554	40.79027	-53.45900	MITRAL_VALVE	17001	1.0	20
40.96480	-15.68037	-101.20706	APEX_POINT	17001	1.0	20
17.43720	43.44745	-37.52516	MITRAL_VALVE	16001	1.0	20
-3.10914	22.34825	-21.75091	MITRAL_VALVE	16001	1.0	20
-9.81538	-0.12285	-23.10470	AORTA_VALVE	16001	1.0	20
-7.22401	21.00844	-17.38769	AORTA_VALVE	16001	1.0	20
42.19662	-23.14081	-94.92589	APEX_POINT	16001	1.0	20
-19.12173	24.81616	-39.16236	MITRAL_VALVE	14001	1.0	20
18.75846	35.94160	-19.37795	MITRAL_VALVE	14001	1.0	20
-24.13297	15.30603	-53.44006	TRICUSPID_VALVE	14001	1.0	20
-60.85555	7.89446	-67.72573	TRICUSPID_VALVE	14001	1.0	20
39.66470	-21.68073	-100.95265	APEX_POINT	14001	1.0	20
-11.69680	-13.33757	1.66418	PULMONARY_VALVE	22001	1.0	20
-11.12783	-1.01208	-8.09518	PULMONARY_VALVE	22001	1.0	20
-13.18486	-0.26385	-32.15506	SAX_LV_ENDOCARDIAL	8001	1.0	20
-12.39279	-0.26385	-31.54462	SAX_LV_ENDOCARDIAL	8001	1.0	20
-11.60072	-0.26385	-30.93419	SAX_LV_ENDOCARDIAL	8001	1.0	20
-10.80866	-0.26385	-30.32376	SAX_LV_ENDOCARDIAL	8001	1.0	20
-9.63890	0.52176	-30.20339	SAX_LV_ENDOCARDIAL	8001	1.0	20
-8.84684	0.52177	-29.59296	SAX_LV_ENDOCARDIAL	8001	1.0	20
-8.05476	0.52177	-28.98252	SAX_LV_ENDOCARDIAL	8001	1.0	20
-7.26270	0.52177	-28.37209	SAX_LV_ENDOCARDIAL	8001	1.0	20
-6.09295	1.30738	-28.25172	SAX_LV_ENDOCARDIAL	8001	1.0	20
-5.30088	1.30738	-27.64129	SAX_LV_ENDOCARDIAL	8001	1.0	20
-4.13113	2.09300	-27.52092	SAX_LV_ENDOCARDIAL	8001	1.0	20
-3.33907	2.09300	-26.91049	SAX_LV_ENDOCARDIAL	8001	1.0	20
-2.16931	2.87861	-26.79012	SAX_LV_ENDOCARDIAL	8001	1.0	20
-1.37725	2.87861	-26.17969	SAX_LV_ENDOCARDIAL	8001	1.0	20
-0.20749	3.66423	-26.05932	SAX_LV_ENDOCARDIAL	8001	1.0	20
0.58458	3.66422	-25.44888	SAX_LV_ENDOCARDIAL	8001	1.0	20
1.75433	4.44984	-25.32852	SAX_LV_ENDOCARDIAL	8001	1.0	20
2.54640	4.44984	-24.71808	SAX_LV_ENDOCARDIAL	8001	1.0	20
3.71615	5.23546	-24.59772	SAX_LV_ENDOCARDIAL	8001	1.0	20
4.50822	5.23545	-23.98728	SAX_LV_ENDOCARDIAL	8001	1.0	20
5.67798	6.02107	-23.86691	SAX_LV_ENDOCARDIAL	8001	1.0	20
6.84773	6.80669	-23.74655	SAX_LV_ENDOCARDIAL	8001	1.0	20
7.63980	6.80668	-23.13611	SAX_LV_ENDOCARDIAL	8001	1.0	20
8.80954	7.59230	-23.01575	SAX_LV_ENDOCARDIAL	8001	1.0	20
9.60162	7.59230	-22.40531	SAX_LV_ENDOCARDIAL	8001	1.0	20
10.77136	8.37791	-22.28495	SAX_LV_ENDOCARDIAL	8001	1.0	20
11.56344	8.37791	-21.67451	SAX_LV_ENDOCARDIAL	8001	1.0	20
12.73319	9.16352	-21.55414	SAX_LV_ENDOCARDIAL	8001	1.0	20
13.52525	9.16353	-20.94371	SAX_LV_ENDOCARDIAL	8001	1.0	20
14.69501	9.94914	-20.82334	SAX_LV_ENDOCARDIAL	8001	1.0	20
15.48707	9.94914	-20.21291	SAX_LV_ENDOCARDIAL	8001	1.0	20
16.65683	10.73475	-20.09254	SAX_LV_ENDOCARDIAL	8001	1.0	20
17.82657	11.52037	-19.97218	SAX_LV_ENDOCARDIAL	8001	1.0	20
18.61864	11.52037	-19.36174	SAX_LV_ENDOCARDIAL	8001	1.0	20
19.78840	12.30598	-19.24137	SAX_LV_ENDOCARDIAL	8001	1.0	20
20.58047	12.30598	-18.63094	SAX_LV_ENDOCARDIAL	8001	1.0	20
21.75022	13.09159	-18.51057	SAX_LV_ENDOCARDIAL	8001	1.0	20
22.91997	13.87721	-18.39021	SAX_LV_ENDOCARDIAL	8001	1.0	20
24.08973	14.66283	-18.26984	SAX_LV_ENDOCARDIAL	8001	1.0	20
25.25948	15.44844	-18.14947	SAX_LV_ENDOCARDIAL	8001	1.0	20
25.63717	16.23406	-18.63954	SAX_LV_ENDOCARDIAL	8001	1.0	20
26.80692	17.01966	-18.51917	SAX_LV_ENDOCARDIAL	8001	1.0	20
27.18460	17.80528	-19.00924	SAX_LV_ENDOCARDIAL	8001	1.0	20
28.35436	18.59089	-18.88887	SAX_LV_ENDOCARDIAL	8001	1.0	20
28.73204	19.37650	-19.37894	SAX_LV_ENDOCARDIAL	8001	1.0	20
29.90179	20.16212	-19.25857	SAX_LV_ENDOCARDIAL	8001	1.0	20
30.27948	20.94773	-19.74864	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.44924	21.73335	-19.62827	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.82692	22.51896	-20.11834	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.20461	23.30458	-20.60841	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.58229	24.09018	-21.09847	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.95998	24.87580	-21.58854	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.33766	25.66141	-22.07861	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.92329	26.44703	-23.17911	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.30096	27.23264	-23.66918	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.67865	28.01825	-24.15924	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.26428	28.80386	-25.25974	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.64196	29.58947	-25.74981	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.22758	30.37508	-26.85031	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.81320	31.16070	-27.95081	SAX_LV_ENDOCARDIAL	8001	1.0	20
33.19089	31.94632	-28.44088	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.77651	32.73193	-29.54138	SAX_LV_ENDOCARDIAL	8001	1.0	20
32.36212	33.51753	-30.64188	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.94774	34.30314	-31.74238	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.53336	35.08876	-32.84288	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.91105	35.87437	-33.33295	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.49667	36.65999	-34.43345	SAX_LV_ENDOCARDIAL	8001	1.0	20
31.08229	37.44560	-35.53395	SAX_LV_ENDOCARDIAL	8001	1.0	20
30.66790	38.23121	-36.63445	SAX_LV_ENDOCARDIAL	8001	1.0	20
