x	y	z	contour type	frameID	weight	time frame
9.16995	-12.39702	-31.30793	RV_INSERT	9001	2.0	14
-14.65178	12.86837	-74.78867	RV_INSERT	9001	2.0	14
-0.77297	5.28046	-84.99151	RV_INSERT	10001	2.0	14
10.31596	-18.83792	-52.46424	RV_INSERT	10001	2.0	14
12.86711	-4.61845	-93.08099	RV_INSERT	11001	2.0	14
13.67095	-21.03747	-76.13586	RV_INSERT	11001	2.0	14
26.63842	-16.25410	-99.34422	RV_INSERT	12001	2.0	14
25.74895	-22.78796	-93.53302	RV_INSERT	12001	2.0	14
4.42941	24.39242	-20.98655	MITRAL_VALVE	17001	1.0	14
-6.19475	40.34880	-55.49940	MITRAL_VALVE	17001	1.0	14
42.53546	-17.87007	-98.37967	APEX_POINT	17001	1.0	14
17.06015	43.15987	-37.19412	MITRAL_VALVE	16001	1.0	14
0.61028	23.73455	-25.62169	MITRAL_VALVE	16001	1.0	14
-8.29907	1.86590	-24.08874	AORTA_VALVE	16001	1.0	14
-4.28985	20.64459	-21.04938	AORTA_VALVE	16001	1.0	14
41.88895	-23.62551	-94.76009	APEX_POINT	16001	1.0	14
-20.44978	24.05152	-40.39937	MITRAL_VALVE	14001	1.0	14
16.34140	34.68878	-21.42792	MITRAL_VALVE	14001	1.0	14
-22.82214	13.46872	-55.97909	TRICUSPID_VALVE	14001	1.0	14
-55.53548	4.51114	-72.12152	TRICUSPID_VALVE	14001	1.0	14
41.16310	-20.53418	-99.14525	APEX_POINT	14001	1.0	14
-11.28589	-14.44441	-0.85745	PULMONARY_VALVE	22001	1.0	14
-10.75718	1.12127	-11.78619	PULMONARY_VALVE	22001	1.0	14
-11.18634	-1.04946	-29.83369	SAX_LV_ENDOCARDIAL	8001	1.0	14
-10.39428	-1.04946	-29.22326	SAX_LV_ENDOCARDIAL	8001	1.0	14
-9.60221	-1.04946	-28.61282	SAX_LV_ENDOCARDIAL	8001	1.0	14
-8.81015	-1.04946	-28.00239	SAX_LV_ENDOCARDIAL	8001	1.0	14
-7.64038	-0.26384	-27.88202	SAX_LV_ENDOCARDIAL	8001	1.0	14
