x	y	z	contour type	frameID	weight	time frame
10.86577	-11.60300	-30.79049	RV_INSERT	9001	2.0	13
-13.85584	12.44709	-73.75638	RV_INSERT	9001	2.0	13
-0.59253	5.12148	-84.69437	RV_INSERT	10001	2.0	13
11.34442	-18.60864	-51.89960	RV_INSERT	10001	2.0	13
13.71637	-4.62221	-92.42273	RV_INSERT	11001	2.0	13
14.53298	-21.09357	-75.41572	RV_INSERT	11001	2.0	13
27.50956	-16.01308	-98.91249	RV_INSERT	12001	2.0	13
26.22138	-21.75533	-94.19570	RV_INSERT	12001	2.0	13
5.73695	22.91329	-23.25285	MITRAL_VALVE	17001	1.0	13
-5.33575	39.33190	-56.38117	MITRAL_VALVE	17001	1.0	13
42.31854	-17.62701	-97.97240	APEX_POINT	17001	1.0	13
18.10352	42.69953	-38.63428	MITRAL_VALVE	16001	1.0	13
0.46601	22.57162	-25.93433	MITRAL_VALVE	16001	1.0	13
-7.25776	0.58922	-25.86704	AORTA_VALVE	16001	1.0	13
-3.70607	19.93834	-22.04237	AORTA_VALVE	16001	1.0	13
42.14358	-22.81616	-94.72698	APEX_POINT	16001	1.0	13
-18.64147	22.49323	-42.48578	MITRAL_VALVE	14001	1.0	13
18.25374	32.94828	-23.76863	MITRAL_VALVE	14001	1.0	13
-20.48636	13.08368	-56.31282	TRICUSPID_VALVE	14001	1.0	13
-50.78370	3.15323	-73.63396	TRICUSPID_VALVE	14001	1.0	13
41.68860	-20.35355	-98.83265	APEX_POINT	14001	1.0	13
-11.04027	-14.66711	-2.56323	PULMONARY_VALVE	22001	1.0	13
-10.57388	-0.20511	-12.53442	PULMONARY_VALVE	22001	1.0	13
-6.88501	1.30738	-28.86215	SAX_LV_ENDOCARDIAL	8001	1.0	13
-6.09295	1.30738	-28.25172	SAX_LV_ENDOCARDIAL	8001	1.0	13
-5.30088	1.30738	-27.64129	SAX_LV_ENDOCARDIAL	8001	1.0	13
-4.13113	2.09300	-27.52092	SAX_LV_ENDOCARDIAL	8001	1.0	13
-3.33907	2.09300	-26.91049	SAX_LV_ENDOCARDIAL	8001	1.0	13
-2.96137	2.87861	-27.40055	SAX_LV_ENDOCARDIAL	8001	1.0	13
-2.58369	3.66422	-27.89062	SAX_LV_ENDOCARDIAL	8001	1.0	13
-1.41393	4.44984	-27.77025	SAX_LV_ENDOCARDIAL	8001	1.0	13
-1.03625	5.23545	-28.26032	SAX_LV_ENDOCARDIAL	8001	1.0	13
0.13351	6.02106	-28.13995	SAX_LV_ENDOCARDIAL	8001	1.0	13
0.51119	6.80667	-28.63002	SAX_LV_ENDOCARDIAL	8001	1.0	13
1.68094	7.59229	-28.50965	SAX_LV_ENDOCARDIAL	8001	1.0	13
2.05863	8.37790	-28.99972	SAX_LV_ENDOCARDIAL	8001	1.0	13
3.22839	9.16352	-28.87935	SAX_LV_ENDOCARDIAL	8001	1.0	13
4.39813	9.94913	-28.75899	SAX_LV_ENDOCARDIAL	8001	1.0	13
4.77582	10.73474	-29.24905	SAX_LV_ENDOCARDIAL	8001	1.0	13
5.94557	11.52036	-29.12869	SAX_LV_ENDOCARDIAL	8001	1.0	13
6.32326	12.30597	-29.61875	SAX_LV_ENDOCARDIAL	8001	1.0	13
7.49301	13.09159	-29.49839	SAX_LV_ENDOCARDIAL	8001	1.0	13
8.66276	13.87720	-29.37802	SAX_LV_ENDOCARDIAL	8001	1.0	13
9.83252	14.66281	-29.25765	SAX_LV_ENDOCARDIAL	8001	1.0	13
11.00227	15.44843	-29.13729	SAX_LV_ENDOCARDIAL	8001	1.0	13
11.37996	16.23404	-29.62735	SAX_LV_ENDOCARDIAL	8001	1.0	13
12.54971	17.01965	-29.50698	SAX_LV_ENDOCARDIAL	8001	1.0	13
13.71946	17.80527	-29.38662	SAX_LV_ENDOCARDIAL	8001	1.0	13
14.88921	18.59088	-29.26625	SAX_LV_ENDOCARDIAL	8001	1.0	13
15.26691	19.37650	-29.75632	SAX_LV_ENDOCARDIAL	8001	1.0	13
16.43666	20.16211	-29.63595	SAX_LV_ENDOCARDIAL	8001	1.0	13
16.81434	20.94772	-30.12602	SAX_LV_ENDOCARDIAL	8001	1.0	13
17.98410	21.73333	-30.00565	SAX_LV_ENDOCARDIAL	8001	1.0	13
18.36178	22.51895	-30.49572	SAX_LV_ENDOCARDIAL	8001	1.0	13
19.53153	23.30456	-30.37535	SAX_LV_ENDOCARDIAL	8001	1.0	13
19.90922	24.09017	-30.86542	SAX_LV_ENDOCARDIAL	8001	1.0	13
20.28691	24.87578	-31.35548	SAX_LV_ENDOCARDIAL	8001	1.0	13
21.45665	25.66140	-31.23512	SAX_LV_ENDOCARDIAL	8001	1.0	13
21.83435	26.44701	-31.72518	SAX_LV_ENDOCARDIAL	8001	1.0	13
22.21203	27.23262	-32.21525	SAX_LV_ENDOCARDIAL	8001	1.0	13
22.58971	28.01824	-32.70532	SAX_LV_ENDOCARDIAL	8001	1.0	13
22.96740	28.80386	-33.19539	SAX_LV_ENDOCARDIAL	8001	1.0	13
23.34509	29.58946	-33.68545	SAX_LV_ENDOCARDIAL	8001	1.0	13
23.72277	30.37508	-34.17552	SAX_LV_ENDOCARDIAL	8001	1.0	13
24.10045	31.16069	-34.66559	SAX_LV_ENDOCARDIAL	8001	1.0	13
24.47815	31.94630	-35.15565	SAX_LV_ENDOCARDIAL	8001	1.0	13
24.06376	32.73192	-36.25616	SAX_LV_ENDOCARDIAL	8001	1.0	13
24.44145	33.51752	-36.74622	SAX_LV_ENDOCARDIAL	8001	1.0	13
24.81914	34.30314	-37.23629	SAX_LV_ENDOCARDIAL	8001	1.0	13
