x	y	z	contour type	frameID	weight	time frame
7.78030	-2.56569	-13.70877	RV_INSERT	8001	1.0	23
-21.32123	22.57389	-61.13348	RV_INSERT	8001	1.0	23
8.50221	-15.05674	-29.17796	RV_INSERT	9001	1.0	23
-10.56913	16.50446	-75.25764	RV_INSERT	9001	1.0	23
0.93551	6.76456	-85.15047	RV_INSERT	10001	1.0	23
8.01870	-21.56946	-51.51871	RV_INSERT	10001	1.0	23
15.37684	-3.48253	-92.27623	RV_INSERT	11001	1.0	23
15.60761	-22.82779	-72.86316	RV_INSERT	11001	1.0	23
23.21746	-17.45345	-100.78818	RV_INSERT	12001	1.0	23
22.43532	-25.29229	-93.59671	RV_INSERT	12001	1.0	23
5.51742	22.65129	-16.01342	MITRAL_VALVE	17001	1.0	23
-6.11785	40.18023	-54.53626	MITRAL_VALVE	17001	1.0	23
42.04882	-16.82767	-104.14717	APEX_POINT	17001	1.0	23
15.83348	44.82769	-35.03090	MITRAL_VALVE	16001	1.0	23
-5.47405	23.26150	-18.54094	MITRAL_VALVE	16001	1.0	23
-11.98343	2.53208	-19.40352	AORTA_VALVE	16001	1.0	23
-9.47545	22.90633	-13.90263	AORTA_VALVE	16001	1.0	23
44.60864	-20.25574	-96.60740	APEX_POINT	16001	1.0	23
-20.41219	26.00397	-37.56353	MITRAL_VALVE	14001	1.0	23
11.09482	38.83722	-15.91517	MITRAL_VALVE	14001	1.0	23
-26.47737	16.65415	-51.71013	TRICUSPID_VALVE	14001	1.0	23
-60.16355	12.53614	-60.92590	TRICUSPID_VALVE	14001	1.0	23
40.02030	-21.27905	-100.33575	APEX_POINT	14001	1.0	23
-12.08774	-13.38684	4.56183	PULMONARY_VALVE	22001	1.0	23
-11.28530	0.39179	-7.57193	PULMONARY_VALVE	22001	1.0	23
-13.30121	1.36236	-33.86169	SAX_LV_ENDOCARDIAL	8001	1.0	23
-12.50915	1.36236	-33.25126	SAX_LV_ENDOCARDIAL	8001	1.0	23
-11.71708	1.36236	-32.64082	SAX_LV_ENDOCARDIAL	8001	1.0	23
-10.92501	1.36236	-32.03039	SAX_LV_ENDOCARDIAL	8001	1.0	23
-10.13295	1.36236	-31.41995	SAX_LV_ENDOCARDIAL	8001	1.0	23
-9.34088	1.36236	-30.80952	SAX_LV_ENDOCARDIAL	8001	1.0	23
-8.54881	1.36236	-30.19909	SAX_LV_ENDOCARDIAL	8001	1.0	23
-7.75675	1.36236	-29.58865	SAX_LV_ENDOCARDIAL	8001	1.0	23
-6.96468	1.36236	-28.97822	SAX_LV_ENDOCARDIAL	8001	1.0	23
-6.17261	1.36236	-28.36778	SAX_LV_ENDOCARDIAL	8001	1.0	23
-5.38054	1.36236	-27.75735	SAX_LV_ENDOCARDIAL	8001	1.0	23
-4.58848	1.36237	-27.14692	SAX_LV_ENDOCARDIAL	8001	1.0	23
-3.79641	1.36237	-26.53648	SAX_LV_ENDOCARDIAL	8001	1.0	23
-2.62666	2.14798	-26.41612	SAX_LV_ENDOCARDIAL	8001	1.0	23
-1.83459	2.14798	-25.80568	SAX_LV_ENDOCARDIAL	8001	1.0	23
-1.04252	2.14798	-25.19525	SAX_LV_ENDOCARDIAL	8001	1.0	23
-0.25046	2.14798	-24.58481	SAX_LV_ENDOCARDIAL	8001	1.0	23
0.91930	2.93360	-24.46445	SAX_LV_ENDOCARDIAL	8001	1.0	23
1.71136	2.93360	-23.85401	SAX_LV_ENDOCARDIAL	8001	1.0	23
2.50343	2.93360	-23.24358	SAX_LV_ENDOCARDIAL	8001	1.0	23
3.29550	2.93360	-22.63315	SAX_LV_ENDOCARDIAL	8001	1.0	23
4.46525	3.71921	-22.51278	SAX_LV_ENDOCARDIAL	8001	1.0	23
5.25732	3.71921	-21.90234	SAX_LV_ENDOCARDIAL	8001	1.0	23
6.04938	3.71921	-21.29191	SAX_LV_ENDOCARDIAL	8001	1.0	23
6.84145	3.71921	-20.68148	SAX_LV_ENDOCARDIAL	8001	1.0	23
7.63352	3.71922	-20.07104	SAX_LV_ENDOCARDIAL	8001	1.0	23
8.80327	4.50483	-19.95068	SAX_LV_ENDOCARDIAL	8001	1.0	23
9.59534	4.50483	-19.34024	SAX_LV_ENDOCARDIAL	8001	1.0	23
