x	y	z	contour type	frameID	weight	time frame
12.19436	-11.19163	-30.17559	RV_INSERT	9001	1.0	9
-11.26198	11.69799	-71.01248	RV_INSERT	9001	1.0	9
1.45174	4.64146	-82.64159	RV_INSERT	10001	1.0	9
10.28000	-19.74642	-51.58863	RV_INSERT	10001	1.0	9
19.39441	-4.61382	-88.05509	RV_INSERT	11001	1.0	9
15.25767	-20.64240	-75.30581	RV_INSERT	11001	1.0	9
28.61119	-18.88453	-95.20836	RV_INSERT	12001	1.0	9
27.58365	-20.98181	-93.91493	RV_INSERT	12001	1.0	9
6.90437	21.97037	-30.35243	MITRAL_VALVE	17001	1.0	9
-2.62915	36.47763	-63.86131	MITRAL_VALVE	17001	1.0	9
43.98926	-19.80452	-97.00362	APEX_POINT	17001	1.0	9
19.38978	39.46788	-41.52130	MITRAL_VALVE	16001	1.0	9
1.60077	24.18012	-26.62061	MITRAL_VALVE	16001	1.0	9
-5.49623	0.93614	-27.82946	AORTA_VALVE	16001	1.0	9
-3.31536	21.04077	-22.04977	AORTA_VALVE	16001	1.0	9
43.89051	-19.32354	-95.35942	APEX_POINT	16001	1.0	9
-16.00627	20.73731	-44.77928	MITRAL_VALVE	14001	1.0	9
17.93193	28.78824	-29.83416	MITRAL_VALVE	14001	1.0	9
-19.99779	13.06189	-56.29741	TRICUSPID_VALVE	14001	1.0	9
-42.69818	1.53980	-75.19618	TRICUSPID_VALVE	14001	1.0	9
41.43657	-18.14803	-95.65759	APEX_POINT	14001	1.0	9
-10.55433	-18.19659	-4.54090	PULMONARY_VALVE	22001	1.0	9
-10.44769	0.55559	-13.80657	PULMONARY_VALVE	22001	1.0	9
-7.03807	4.50481	-32.15936	SAX_LV_ENDOCARDIAL	8001	1.0	9
-6.24600	4.50481	-31.54892	SAX_LV_ENDOCARDIAL	8001	1.0	9
-5.45393	4.50481	-30.93849	SAX_LV_ENDOCARDIAL	8001	1.0	9
-4.66187	4.50482	-30.32805	SAX_LV_ENDOCARDIAL	8001	1.0	9
-3.49211	5.29043	-30.20769	SAX_LV_ENDOCARDIAL	8001	1.0	9
-2.70005	5.29043	-29.59725	SAX_LV_ENDOCARDIAL	8001	1.0	9
-1.53029	6.07604	-29.47688	SAX_LV_ENDOCARDIAL	8001	1.0	9
-0.36054	6.86166	-29.35652	SAX_LV_ENDOCARDIAL	8001	1.0	9
0.01714	7.64727	-29.84658	SAX_LV_ENDOCARDIAL	8001	1.0	9
1.18690	8.43288	-29.72622	SAX_LV_ENDOCARDIAL	8001	1.0	9
1.56458	9.21850	-30.21628	SAX_LV_ENDOCARDIAL	8001	1.0	9
2.73434	10.00411	-30.09592	SAX_LV_ENDOCARDIAL	8001	1.0	9
3.11202	10.78972	-30.58598	SAX_LV_ENDOCARDIAL	8001	1.0	9
4.28178	11.57534	-30.46562	SAX_LV_ENDOCARDIAL	8001	1.0	9
5.45153	12.36095	-30.34525	SAX_LV_ENDOCARDIAL	8001	1.0	9
5.82922	13.14656	-30.83532	SAX_LV_ENDOCARDIAL	8001	1.0	9
6.99897	13.93218	-30.71495	SAX_LV_ENDOCARDIAL	8001	1.0	9
8.16872	14.71779	-30.59458	SAX_LV_ENDOCARDIAL	8001	1.0	9
8.54641	15.50341	-31.08465	SAX_LV_ENDOCARDIAL	8001	1.0	9
9.71616	16.28902	-30.96428	SAX_LV_ENDOCARDIAL	8001	1.0	9
10.09385	17.07463	-31.45435	SAX_LV_ENDOCARDIAL	8001	1.0	9
11.26360	17.86025	-31.33398	SAX_LV_ENDOCARDIAL	8001	1.0	9
12.43335	18.64586	-31.21362	SAX_LV_ENDOCARDIAL	8001	1.0	9
12.81104	19.43147	-31.70368	SAX_LV_ENDOCARDIAL	8001	1.0	9
13.98079	20.21709	-31.58332	SAX_LV_ENDOCARDIAL	8001	1.0	9
14.35848	21.00270	-32.07338	SAX_LV_ENDOCARDIAL	8001	1.0	9
15.52823	21.78831	-31.95302	SAX_LV_ENDOCARDIAL	8001	1.0	9
15.90592	22.57393	-32.44308	SAX_LV_ENDOCARDIAL	8001	1.0	9
17.07567	23.35954	-32.32272	SAX_LV_ENDOCARDIAL	8001	1.0	9
17.45335	24.14515	-32.81278	SAX_LV_ENDOCARDIAL	8001	1.0	9
17.83104	24.93077	-33.30285	SAX_LV_ENDOCARDIAL	8001	1.0	9
19.00079	25.71638	-33.18248	SAX_LV_ENDOCARDIAL	8001	1.0	9
19.37848	26.50199	-33.67255	SAX_LV_ENDOCARDIAL	8001	1.0	9
19.75617	27.28761	-34.16262	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.13385	28.07322	-34.65269	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.51154	28.85883	-35.14275	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.88922	29.64444	-35.63282	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.26691	30.43006	-36.12289	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.85253	31.21567	-37.22339	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.23021	32.00128	-37.71345	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.60790	32.78690	-38.20352	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.19352	33.57251	-39.30402	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.57121	34.35812	-39.79409	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.15682	35.14373	-40.89459	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.53451	35.92935	-41.38466	SAX_LV_ENDOCARDIAL	8001	1.0	9
21.12013	36.71496	-42.48516	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.70575	37.50057	-43.58566	SAX_LV_ENDOCARDIAL	8001	1.0	9
20.29137	38.28618	-44.68616	SAX_LV_ENDOCARDIAL	8001	1.0	9
19.49930	38.28618	-45.29659	SAX_LV_ENDOCARDIAL	8001	1.0	9
19.08492	39.07179	-46.39709	SAX_LV_ENDOCARDIAL	8001	1.0	9
18.67054	39.85741	-47.49760	SAX_LV_ENDOCARDIAL	8001	1.0	9
17.87847	39.85741	-48.10803	SAX_LV_ENDOCARDIAL	8001	1.0	9
17.46409	40.64302	-49.20853	SAX_LV_ENDOCARDIAL	8001	1.0	9
16.67202	40.64302	-49.81896	SAX_LV_ENDOCARDIAL	8001	1.0	9
15.87996	40.64302	-50.42940	SAX_LV_ENDOCARDIAL	8001	1.0	9
15.46558	41.42863	-51.52990	SAX_LV_ENDOCARDIAL	8001	1.0	9
14.67351	41.42863	-52.14033	SAX_LV_ENDOCARDIAL	8001	1.0	9
14.25913	42.21424	-53.24083	SAX_LV_ENDOCARDIAL	8001	1.0	9
13.46706	42.21424	-53.85127	SAX_LV_ENDOCARDIAL	8001	1.0	9
12.67499	42.21424	-54.46170	SAX_LV_ENDOCARDIAL	8001	1.0	9
11.88293	42.21424	-55.07214	SAX_LV_ENDOCARDIAL	8001	1.0	9
11.09086	42.21424	-55.68257	SAX_LV_ENDOCARDIAL	8001	1.0	9
10.29879	42.21424	-56.29300	SAX_LV_ENDOCARDIAL	8001	1.0	9
9.50673	42.21424	-56.90344	SAX_LV_ENDOCARDIAL	8001	1.0	9
8.71466	42.21423	-57.51387	SAX_LV_ENDOCARDIAL	8001	1.0	9
